127.0.0.1 - - [05/Dec/2024:08:11:55 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:42 +0700] "OPTIONS /MOST_PPSB_Web/rest/auth/token?_dc=1733361341965 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:43 +0700] "OPTIONS /MOST_PPSB_Web/rest/auth/token?_dc=1733361343564 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:43 +0700] "POST /MOST_PPSB_Web/rest/auth/token?_dc=1733361341965 HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:43 +0700] "POST /MOST_PPSB_Web/rest/auth/token?_dc=1733361343564 HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:43 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733361343739&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:44 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733361343739&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 74597
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:44 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733361344387&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:44 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/favourites?_dc=1733361344499&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:44 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/favourites?_dc=1733361344499&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:44 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733361344838&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:44 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733361344387&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 129348
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:45 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/list?_dc=1733361344838&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 129348
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:45 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/basic/profile?_dc=1733361345351&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:15:45 +0700] "GET /MOST_PPSB_Web/rest/v1/basic/profile?_dc=1733361345351&page=1&start=0&limit=25 HTTP/1.1" 200 1901
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:16:05 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733361365827&userId=MOSTADMIN&menuId=MPCT122&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:16:05 +0700] "GET /MOST_PPSB_Web/rest/v1/menu/authbutton?_dc=1733361365827&userId=MOSTADMIN&menuId=MPCT122&page=1&start=0&limit=25 HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [05/Dec/2024:08:16:06 +0700] "OPTIONS /MOST_PPSB_Web/rest/v1/columnsetting/searchItems?_dc=1733361366300&code=MT&defaultCheck=Y&gridReference=refRehandleGrid&page=1&start=0&limit=25 HTTP/1.1" 200 -
