127.0.0.1 - - [28/Feb/2025:08:24:34 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:33 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/auth/token?_dc=1740705933492 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:34 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/auth/token?_dc=1740705934175 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:35 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/auth/token?_dc=1740705935921 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:38 +0700] "POST /MOST_MMC_VMT_Web/rest/auth/token?_dc=1740705934175 HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:38 +0700] "POST /MOST_MMC_VMT_Web/rest/auth/token?_dc=1740705935921 HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:38 +0700] "POST /MOST_MMC_VMT_Web/rest/auth/token?_dc=1740705933492 HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:39 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/menu/authbutton?_dc=1740705938957&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:42 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/menu/authbutton?_dc=1740705938957&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 75287
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:42 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740705942832&searchType=BERTH_LOC&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:42 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/menu/hht?_dc=1740705942835&userId=MOSTADMIN&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:53 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/menu/hht?_dc=1740705942835&userId=MOSTADMIN&page=1&start=0&limit=25 HTTP/1.1" 200 10270
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:54 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740705942832&searchType=BERTH_LOC&page=1&start=0&limit=25 HTTP/1.1" 200 476991
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:54 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/popup/vesselcalllistpopup?_dc=1740705954163&vslCallId=ASHL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:25:55 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/popup/vesselcalllistpopup?_dc=1740705954163&vslCallId=ASHL&page=1&start=0&limit=25 HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:40:29 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740706829502&searchType=CMDT_CD&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:40:29 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740706829498&lcd=MT&mcd=CGTP&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:40:29 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740706829511&lcd=MT&mcd=STSOPTP&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:40:29 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740706829508&lcd=MT&mcd=DBLBNKDIV&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:40:29 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740706829514&lcd=MT&mcd=HTC&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:40:29 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740706829517&lcd=MT&mcd=HCHDRT&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:40:29 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740706829522&vslCallId=ASHL&searchType=BLSN&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:40:29 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740706829540&lcd=MT&mcd=SFTRSN&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Feb/2025:08:40:29 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1740706829525&lcd=MT&mcd=STCRTP&page=1&start=0&limit=25 HTTP/1.1" 200 -
