127.0.0.1 - - [17/Jan/2025:08:34:58 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:02 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/auth/token?_dc=1737077701957 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:03 +0700] "POST /MOST_MMC_JPB_Web/rest/auth/token?_dc=1737077701957 HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:03 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1737077703447&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:04 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/authbutton?_dc=1737077703447&userId=MOSTADMIN&menuId=ALL&page=1&start=0&limit=25 HTTP/1.1" 200 75287
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:04 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1737077704345&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:04 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/commonCode/alertlist?_dc=1737077704349&userId=MOSTADMIN&userType=I&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:04 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/favourites?_dc=1737077704678&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:05 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/favourites?_dc=1737077704678&userId=MOSTADMIN&systemCode=MOST&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:05 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1737077705187&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jan/2025:08:35:05 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/menu/list?_dc=1737077704345&systemCode=MOST&mode=leftmenu&page=1&start=0&limit=25 HTTP/1.1" 200 131138
