127.0.0.1 - - [08/Jan/2025:08:35:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:35 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736300675626&vslCallId=ASHL&tyCd=GC&searchType=SNNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:35 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736300675635&vslCallId=ASHL&tyCd=GC&searchType=BLNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:35 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/truckAssignment/sdoItems?_dc=1736300675639&vslCallId=ASHL&blNo=&subDoNo=&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:35 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/truckAssignment/grItems?_dc=1736300675645&scn=ASHL&vslCallId=ASHL&shipgNoteNo=&tyCd=GC&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:35 +0700] "OPTIONS /MOST_MMC_JPB_Web/rest/v1/truckAssignment/lorryassignmentinquiry?_dc=1736300675658&searchType=lorryLists&vslCallId=ASHL&scn=ASHL&mfDocId=&blNo=&shipgNoteNo=&ptnrCd=&truckMode=E&subDoNo=&grNo=&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:37 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736300675614&scn=ASHL&vslCallId=ASHL&tyCd=GC&searchType=MBLNO&page=1&start=0&limit=25 HTTP/1.1" 200 47074
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:37 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/truckAssignment/sdoItems?_dc=1736300675639&vslCallId=ASHL&blNo=&subDoNo=&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:37 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736300675626&vslCallId=ASHL&tyCd=GC&searchType=SNNO&page=1&start=0&limit=25 HTTP/1.1" 200 17152
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:37 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/combobox/codeMaster?_dc=1736300675635&vslCallId=ASHL&tyCd=GC&searchType=BLNO&page=1&start=0&limit=25 HTTP/1.1" 200 47609
0:0:0:0:0:0:0:1 - - [08/Jan/2025:08:44:37 +0700] "GET /MOST_MMC_JPB_Web/rest/v1/truckAssignment/grItems?_dc=1736300675645&scn=ASHL&vslCallId=ASHL&shipgNoteNo=&tyCd=GC&page=1&start=0&limit=25 HTTP/1.1" 200 345
